<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ICE.BRN;M;20180901;77.6900000;83.4100000;75.6400000;82.9800000;3141389
ICE.BRN;M;20181001;82.9700000;86.7400000;74.5800000;74.5900000;4406167
ICE.BRN;M;20181101;74.6900000;74.9900000;57.7800000;59.0700000;4333185
ICE.BRN;M;20181201;59.9800000;63.7300000;50.2200000;54.1500000;3459773
ICE.BRN;M;20190101;54.1200000;63.1500000;52.5100000;61.2200000;3659813
ICE.BRN;M;20190201;61.0600000;67.7300000;60.4600000;66.2800000;2922609
ICE.BRN;M;20190301;66.4800000;68.6900000;64.0200000;67.8400000;3245535
ICE.BRN;M;20190401;67.8200000;75.6000000;67.8200000;71.6600000;3361337
ICE.BRN;M;20190501;71.7300000;73.4000000;61.3900000;61.7600000;4256751
ICE.BRN;M;20190601;60.8100000;66.1400000;58.9800000;65.6300000;3975460
ICE.BRN;M;20190701;65.6300000;67.6500000;61.2900000;65.0500000;3896683
ICE.BRN;M;20190801;64.0900000;64.5400000;55.8800000;59.1900000;3876785
ICE.BRN;M;20190901;58.8000000;71.9500000;57.2300000;59.4300000;3873510
ICE.BRN;M;20191001;59.3800000;62.1100000;56.1600000;59.5000000;3433668
ICE.BRN;M;20191101;59.4500000;64.2700000;59.4000000;60.7300000;2977360
ICE.BRN;M;20191201;60.7300000;67.5900000;60.3000000;66.0300000;2702377
ICE.BRN;M;20200101;66.4100000;71.7500000;55.9300000;56.6600000;3827095
ICE.BRN;M;20200201;56.1600000;60.0000000;48.9400000;50.0900000;3651010
ICE.BRN;M;20200301;48.9500000;53.8700000;21.6500000;25.9200000;3905269
ICE.BRN;M;20200401;25.9900000;36.3900000;15.9800000;26.6600000;4335775
ICE.BRN;M;20200501;26.9500000;38.3100000;25.5000000;37.9800000;2810221
ICE.BRN;M;20200601;37.9900000;43.9300000;37.0100000;41.6300000;2955089
ICE.BRN;M;20200701;41.5800000;44.8900000;41.0300000;43.7100000;2745212
ICE.BRN;M;20200801;43.5300000;46.5400000;42.8900000;45.5700000;2465232
ICE.BRN;M;20200901;45.6000000;46.2200000;39.3000000;42.1200000;3160942
ICE.BRN;M;20201001;42.1700000;43.5700000;37.2600000;37.8600000;3622260
ICE.BRN;M;20201101;37.3700000;49.0600000;35.7400000;47.6100000;3203156
ICE.BRN;M;20201201;47.6200000;52.4800000;46.8200000;51.7200000;2973938
ICE.BRN;M;20210101;51.5000000;57.4200000;50.5600000;54.9100000;3343840
ICE.BRN;M;20210201;54.9100000;67.7000000;54.8100000;65.3800000;2923900
ICE.BRN;M;20210301;65.3900000;71.3800000;60.2700000;63.0700000;4491168
ICE.BRN;M;20210401;63.1200000;68.4400000;61.2500000;66.4400000;3412582
ICE.BRN;M;20210501;66.7000000;70.2400000;64.5700000;69.4600000;3326945
ICE.BRN;M;20210601;69.3900000;76.2100000;69.2900000;74.6700000;3226087
ICE.BRN;M;20210701;74.6900000;77.8400000;67.4400000;75.2200000;3892388
ICE.BRN;M;20210801;75.3900000;75.3900000;64.6000000;71.7000000;3813374
ICE.BRN;M;20210901;71.6800000;79.9500000;70.4200000;78.3600000;3693896
ICE.BRN;M;20211001;78.4900000;86.7000000;77.5500000;83.2500000;4296291
ICE.BRN;M;20211101;83.2500000;85.5000000;67.4500000;71.1500000;4992960
ICE.BRN;M;20211201;71.1700000;80.0300000;65.7200000;77.9400000;3825295
ICE.BRN;M;20220101;78.1100000;90.2700000;77.0400000;89.3100000;3644918
ICE.BRN;M;20220201;89.6200000;105.7900000;87.7200000;98.1200000;4001117
ICE.BRN;M;20220301;98.4300000;139.1300000;96.9300000;105.6500000;4718419
ICE.BRN;M;20220401;105.2500000;114.8400000;97.5700000;106.0800000;2647210
ICE.BRN;M;20220501;106.3000000;120.8000000;101.3000000;116.2700000;3071428
ICE.BRN;M;20220601;116.0800000;125.1900000;107.0300000;109.2000000;3210201
ICE.BRN;M;20220701;109.4900000;114.7500000;94.5000000;103.4100000;3075517
ICE.BRN;M;20220801;103.4400000;104.4300000;91.5100000;94.9600000;3253535
ICE.BRN;M;20220901;95.1800000;96.9900000;82.4400000;85.5700000;3062322
ICE.BRN;M;20221001;86.3500000;98.7500000;86.3500000;92.8500000;2850236
ICE.BRN;M;20221101;92.6700000;97.0000000;92.3300000;96.5900000;484362
