curs;nominal;date
89.5101090909091;100.0;2018-10-01
92.27084761904761;100.0;2018-11-01
95.32217272727272;100.0;2018-12-01
93.63343125;100.0;2019-01-01
92.38214500000001;100.0;2019-02-01
93.5914619047619;100.0;2019-03-01
93.03864761904762;100.0;2019-04-01
92.84177777777778;100.0;2019-05-01
92.372785;100.0;2019-06-01
91.90209090909092;100.0;2019-07-01
92.3095652173913;100.0;2019-08-01
90.93935;100.0;2019-09-01
90.62888260869566;100.0;2019-10-01
89.35118571428572;100.0;2019-11-01
88.40147142857143;100.0;2019-12-01
86.84383529411764;100.0;2020-01-01
89.50840500000001;100.0;2020-02-01
59.51931052631579;62.10526315789474;2020-03-01
87.9529;90.0;2020-04-01
95.80628333333333;100.0;2020-05-01
91.34664000000001;100.0;2020-06-01
95.06621304347826;100.0;2020-07-01
77.14458571428571;78.57142857142857;2020-08-01
10.302422727272727;10.0;2020-09-01
10.563452173913044;10.0;2020-10-01
10.351431578947368;10.0;2020-11-01
45.15767826086957;45.21739130434783;2020-12-01
10.17615625;10.0;2021-01-01
10.211468421052631;10.0;2021-02-01
10.226609523809524;10.0;2021-03-01
10.226927272727274;10.0;2021-04-01
10.100747368421052;10.0;2021-05-01
72.9866142857143;74.28571428571429;2021-06-01
91.28875652173913;92.17391304347827;2021-07-01
90.56074761904762;91.42857142857143;2021-08-01
90.964;91.81818181818181;2021-09-01
95.39301818181819;100.0;2021-10-01
83.33287894736841;85.78947368421052;2021-11-01
97.86539565217392;100.0;2021-12-01
10.28472;10.0;2022-01-01
24.463510526315787;24.210526315789473;2022-02-01
13.595372727272728;10.0;2022-03-01
41.68022727272727;42.72727272727273;2022-04-01
82.10052941176471;100.0;2022-05-01
73.49221904761905;100.0;2022-06-01
73.4251681818182;100.0;2022-07-01
75.92938636363637;100.0;2022-08-01
74.99199090909092;100.0;2022-09-01
74.49561904761904;100.0;2022-10-01
74.6023;100.0;2022-11-01
